title author price
"Em Vốn Thích Cô Độc, Cho Đến Khi Có Anh" "Diệp Lạc Vô Tâm" 81000
"Mây Bay Qua Trời, Em Qua Tim Tôi (2 Tập)" "Mộc Thanh Vũ" 166000
"Hãy Yêu Một Người Xứng Đáng Là Đàn Ông" "Trương Tiểu Nhàn" 64970
"Bên Kia Mây Trời Là Nơi Hẹn Ước" "Shinkai Makoto" 87000
"Còn Chút Gì Để Nhớ (Tái Bản 2018 )" "Nguyễn Nhật Ánh" 45500
"Mỗi Ngày Nhìn Lại - Everyday (Tặng Kèm Bookmark + Postcard)" "David Levithan" 73500
"Bồ Câu Không Đưa Thư (Tái Bản)" "Nguyễn Nhật Ánh" 40018
"Vô Thường" "Nguyễn Bảo Trung" 59250
"Con Gái Phải Mạnh Mẽ (Tái Bản 2019)" Ploy 54000
"Có Những Thứ Đẹp Hơn Cả Tình Yêu" "Tử An" 59250
"Hai Số Phận" "Jeffrey Archer" 67998
"Mắt Biếc (Tái Bản 2019) (Bìa Cứng) " "Nguyễn Nhật Ánh" 164996
"Từng Có Một Người Yêu Tôi Như Sinh Mệnh (Tái Bản)" "Thư Nghi" 85845
"Hoa Hồng Xứ Khác (Tái Bản 2018 )" "Nguyễn Nhật Ánh" 56000
"Chuyện Con Mèo Và Con Chuột Bạn Thân Của Nó - Tái Bản" "Luis Sepulveda" 29250
"Không Gia Đình (Tái Bản)" "Hector Malot" 65450
"Năm Tháng Vội Vã (2 Tập)(Ấn Bản Kỷ Niệm + Bổ Sung Ngoại Truyện Mới)" "Cửu Dạ Hồi" 187000
"Boxset Vật Chất Tối Của Ngài (Trọn Bộ 3 Tập)" "Philip Pullman" 432000
"Thú Tội" "Minato Kanae" 64500
"Bóng Hình Của Gió (Tái Bản)" "Carlos Ruiz Zafón" 102000
"Ngày Mai, Tôi Biến Mất, Cậu Sẽ Hồi Sinh - Tập 3" Fujimaru 76300
"Hoa Tư Dẫn (Tái Bản Có Bổ Sung)" "Đường Thất Công Tử" 91384
"Án Mạng Trên Chuyến Tàu Tốc Hành Phương Đông (Tái Bản 2017)" "Agatha Christie" 71489
"Yêu Em Từ Cái Nhìn Đầu Tiên (Ấn Bản Kỷ Niệm) - Tặng Kèm 7 Bookmark Nhân Vật Và 3 Postcard" "Cố Mạn" 87691
"Trưởng Thành Sau Ngàn Lần Tranh Đấu (Tái Bản)" "Kim Ran Do" 71250
"Chúng Ta (2 Tập)" "Tân Di Ổ" 159200
"Nước Mỹ Trong Tầm Tay"  63000
"Bhutan - Đường Tới Hạnh Phúc"  79000
"All In Love - Ngập Tràn Yêu Thương " "Cố Tây Tước" 87099
"Chủ Tiệm Bánh Chiến Binh Và Cô Phục Vụ Người Máy (Tặng Kèm Bookmark + Poster + 1 sổ 10 x 15 cm - Số Lượng Có Hạn)" Sow 87000
"Nguồn Cội - Origin" "Dan Brown" 145000
"Nếu Biết Trăm Năm Là Hữu Hạn (Tái Bản 2018)" "Phạm Lữ Ân" 70500
"Combo Điều Tuyệt Vời Nhất Của Thanh Xuân (Tái Bản)" "Bát Nguyệt Trường An" 148500
"Combo Đừng Để Lỡ Nhau (Trọn Bộ Tập 3+4+5)" "Ân Tầm" 288750
"Sống Trong Thế Giới Đàn Ông" "Vũ Nguyễn Hà Anh" 66750
"Sherlock Holmes Toàn Tập  (3 Tập - Bìa Cứng - Hộp Ngang)" "Arthur Conan Doyle" 325000
"Bí Mật Nơi Góc Tối (Trọn Bộ 2 Tập)" "Nhĩ Đông Thố Tử" 176499
"Cô Gái Đến Từ Hôm Qua" "Nguyễn Nhật Ánh" 56000
"Có Hai Con Mèo Ngồi Bên Cửa Sổ" "Nguyễn Nhật Ánh" 59496
"Hy Vọng" "So Jae Won" 66750
"Boxset Phố Chiều Lặng Gió Mênh Mang Anh Đào Và 3 Tập Một Góc Nhân Gian" "Fumiyo Kono" 56000
"Ngày Xưa Có Một Chuyện Tình (Bìa Mềm)" "Nguyễn Nhật Ánh" 80498
"Bàn Có Năm Chỗ Ngồi (Tái Bản)" "Nguyễn Nhật Ánh" 55000
"Sự Im Lặng Của Bầy Cừu (Tái Bản)" "Thomas Harris" 96000
"Tôi Yêu Em Qua Hình Hài Robot" "Yamada Yusuke" 64500
"Ngày Tâm Ta An, Sóng Gió Sẽ Tan" "Lý Lê" 73500
"Điều Kỳ Diệu Của Tiệm Tạp Hóa (Tái Bản)" "Higachino Keigo" 78750
"Khi Lỗi Thuộc Về Những Vì Sao" "John Green" 72947
"TANYA Chiến Ký - Tập 1 (Tặng Kèm Bookmark + Poster)" "Carlo Zen" 107300
"Ma Vương Kiến Tạo – Hầm Ngục Kiên Cố Nhất Chính Là Thành Phố Hiện Đại (Tập 5)" "Rui Tsukiyo" 77000
"Con Chó Nhỏ Mang Giỏ Hoa Hồng (Bìa Mềm)" "Nguyễn Nhật Ánh" 63000
"Sự Cứu Rỗi Của Thánh Nữ" "Higashino Keigo" 96000
"Con gái hiện đại đừng tự hại mình - Gái không vì mình trời tru đất diệt" Ploy 52999
"Ngồi Khóc Trên Cây: Truyện Dài" "Nguyễn Nhật Ánh" 71439
"Nơi Nào Đông Ấm, Nơi Nào Hạ Mát (Tái Bản 2018)" "Cố Tây Tước" 94720
"Kiếp Nào Ta Cũng Tìm Thấy Nhau" "Brian L. Weiss" 59500
"Đông Cung" "Phỉ Ngã Tư Tồn" 93499
"Cây Chuối Non Đi Giày Xanh - Bìa Mềm" "Nguyễn Nhật Ánh" 71434
"Made You Up - Tặng Kèm 1 Bookmark Và 3 Tấm Sticker" "Francesca Zappia" 93900
"RE:ZERO 4 - Bắt Đầu Lại Ở Thế Giới Khác" "Tappei Nagatsuki" 76000
"Totto - Chan Bên Cửa Sổ (Tái Bản)" "Kuroyanagi Tetsuko" 73245
"Con Nghĩ Đi, Mẹ Không Biết! " "Mẹ Xu-Sim" 62410
"Hãy Nghe Em Nói" Gari 68499
"Pháp Y Tần Minh (Trọn Bộ 3 Cuốn)" "Tần Minh" 328679
"Khi Nhìn Lên Trời Xanh, Tớ Sẽ Rất Nhớ Cậu" Septiny 57999
"Lẽ Nào Em Không Biết" "Lan Rùa" 80250
"Suối Nguồn (Tái Bản)" "Ayn Rand" 247772
"Chuyện Cổ Tích Dành Cho Người Lớn (Tái Bản 2019)" "Nguyễn Nhật Ánh" 36400
"Harry Potter Và Hòn Đá Phù Thủy - Tập 1 (Tái Bản 2017)" "J. K. Rowling" 93946
"Tiếc Rằng Mình Chẳng Đợi Được Nhau" "Khải Vệ" 63499
"Bỏ Lỡ Một Người, Bỏ Lỡ Một Đời" "Kim Su Min" 74250
"Gửi Thời Đơn Thuần Đẹp Đẽ Của Chúng Ta (2 Tập) - Tặng Kèm Photobook + 5 Bookmark Nhân Vật Siêu Xinh" "Triệu Kiền Kiền" 174470
"QUÁI ĐÀM - Chuyện Yêu Quái Và Dị Trùng Nhật Bản" "Lafcadio Hearn" 56000
"Bảy Bước Tới Mùa Hè" "Nguyễn Nhật Ánh" 92290
"NO.6 (Tập 4)" "Asano Atsuko" 44000
"Cứ Mộng Mơ Đời Sẽ Nên Thơ" Hiên 49999
"Bắt Trẻ Đồng Xanh (Tái Bản)" "J. D. Salinger" 56250
"Hẹn Ước Mùa Hè" "Goya Manaka" 75000
"Mười Người Da Đen Nhỏ" "Agatha Christie" 59498
"Thần Thoại Bắc Âu" "Neil Gaiman" 82500
"Người Thắp Sao Trời" "Tự Từ" 45000
"Em Hiểu Chuyện Như Thế Có Thấy Mệt Không" "Học Trưởng A Mạc" 79000
"Điều Kỳ Diệu Của Tiệm Tạp Hóa" "Higashino Keigo" 103350
"Combo Harry Potter 3 Tập (Tập 5 - Tập 7)" "J. K. Rowling" 610954
"Hai Số Phận (Tái Bản)" "Jeffrey Archer" 99997
"Khóc Giữa Sài Gòn (Tái Bản)" "Nguyễn Ngọc Thạch" 66750
"Cánh Đồng Bất Tận (Tái Bản 2019)" "Nguyễn Ngọc Tư" 59483
"Cuốn Theo Chiều Gió (Trí Việt)" "Margaret Mitchell" 116099
"Sống Hay Chết" "Michael Bobotham" 86999
"Đi Qua Hoa Cúc (Tái Bản)" "Nguyễn Nhật Ánh" 48849
"Khi Lời Nói Dối Còn Chưa Phơi Bày" "Toshikazu Kawaguchi" 57499
"Đã Từng Tồn Tại Đã Từng Yêu Thương" Gari 37500
"Harry Potter Và Chiếc Cốc Lửa - Tập 4 (Tái Bản 2017)" "J. K. Rowling" 175269
"Harry Potter Và Phòng Chứa Bí Mật - Tập 2 (Tái Bản 2017)" "J. K. Rowling" 102494
"Đối Thoại Với Thiên Thần" "Kokusai Un" 56250
"Xứ Tuyết (Bìa Cứng)" "Kawabata Yasunari" 52500
"Thám Tử Sherlock Holmes Toàn Tập (Trọn Bộ 3 Tập)" "Sir Arthur Conan Doyle" 269550
"Gửi Thời Đơn Thuần Đẹp Đẽ Của Chúng Ta (2 Tập)"  159200
"Date A Live - Tập 6" "Koushi Tachibana" 78400
"Mạch Thượng Hoa Khai" "Hắc Bạch Kiếm Yêu" 50167
"Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập)" "J. K. Rowling" 1084631
"Mẹ, Em Bé Và Bố (Bìa Cứng) " Gào 89244
"Ảo Linh Kỳ" "Quỷ Cổ Nữ" 135000
"Nghìn Lẻ Một Đêm" "Antoine Galland" 131999
"RE:ZERO - Bắt Đầu Lại Ở Thế Giới Khác" "Tappei Nagatsuki" 28000
"Trong Gia Đình"  73500
"A Beautiful Bad Girl - Ai Bảo Gái Hư Không Có Quà" "Thùy Chi" 64500
"Tôi Thích Một Mình Nhưng Ghét Cô Đơn" "Hye-rin Lee" 64999
"Hẹn Với Thần Chết" "Agatha Christie" 66288
"500 Ngày Yêu – Anh Đổ Em Bao Nhiêu Độ Rồi?" "Chan - Bowl" 80499
"Nếu Biết Trăm Năm Là Hữu Hạn (Phiên Bản Màu)" "Phạm Lữ Ân" 139860
"Tuổi Thơ Dữ Dội (Bản Mới 2013)" "Phùng Quán" 78298
"Khi Nhìn Thấy Lời Nói Dối, Tôi Đã Yêu Em Thật Lòng" "Sakurai Mina" 60499
"Bí Mật Của Naoko" "Higashino Keigo" 80724
"Ngày Một Người Không Còn Là Tất Cả"  72000
"Anh Không Thích Thế Giới Này, Anh Chỉ Thích Em (Bìa Mềm)" "Kiều Nhất" 67942
"Những Cô Em Gái (Tái Bản 2019)" "Nguyễn Nhật Ánh" 44100
"Hẹn Đẹp Như Mơ (Tái Bản)" "Phỉ Ngã Tư Tồn" 81537
"Đảo Quỷ" "Edogawa Ranpo" 87600
"Phòng Trọ Ba Người (2019)" "Nguyễn Nhật Ánh" 50400
"Combo Sách Đừng Để Lỡ Nhau (Tập 1 + 2)" "Ân Tầm" 193500
"Trạm Dừng Chân Nơi Nhà Ga Tuổi Trẻ" "Asai Ryo" 73500
"Ngôi Trường Mọi Khi (Tái Bản)" "Nguyễn Nhật Ánh" 50400
"Bút Đỏ" "Sawai Miho" 58500
"15 Năm Chờ Đợi Chim Di Trú"  89250
"Another (Trọn Bộ 2 Tập) " "Yukito Ayatsuji" 120000
"Người Đua Diều (Tái Bản 2018)" "Khaled Hosseini" 81750
"Nửa Kiếp Hồng Trần, Một Khúc Du Ca" "Diệp Lạc Vô Tâm" 59250
"Dưới Ánh Sáng Ma Pháp 0.2 Lux" "Shima Shima" 69000
"Bộ Sách Mẹ Kể Con Nghe - Giao Tiếp Ứng Xử" "NXB Triết Giang" 48000
"Sẽ Có Cách, Đừng Lo " "Tuệ Nghi" 55200
"Tai Trái (Trọn Bộ 2 Tập)" "Nhiêu Tuyết Mạn" 149000
"Mọi Khoảnh Khắc Đều Là Em" "Tae Wan Ha" 94999
"Hồ Ly Biết Yêu" "Diệp Lạc Vô Tâm" 89007
"Thay Lời Muốn Nói - Thanh Xuân Tôi" "Lê Đỗ Quỳnh Hương" 77000
"Cho Tôi Biến Mất Một Ngày" Việt 58400
"Trà Hoa Nữ" "Alexandre Dumas" 64500
"Cũng Chỉ Là Hạt Bụi (Tái Bản)" "Mộc Phù Sinh" 94000
"Tôi Muốn Sưởi Ấm Thế Giới Có Em - Tặng Kèm 5 Postcard" "Sơn Đình Dạ Yến" 78840
"Ngang Qua Thị Trấn Ngàn Mây" "Trương Gia Giai" 88000
"Để Yên Cho Bác Sĩ " "BS. Ngô Đức Hùng" 60000
"DATE A LIVE - Tập 4" "Koushi Tachibana" 73500
"Bá Tước Monte Cristo (Huy Hoàng)" "Alexandre Dumas" 90797
"Nơi Tôi Ngã Xuống" "Akira Mana" 63750
"Ngắm Tuổi Trẻ Quay Cuồng Trong Tĩnh Lặng" "Lu - Mannup" 64500
"Tam Quốc Diễn Nghĩa (Trọn Bộ 3 Tập)" "La Quán Trung" 239850
"Dear, Doctor (2 Tập)" "Thợ Đá Berlin" 164250
"Săn Mộ - Thông Thiên La Thành" "Hoàng Yến" 89250
"Rạp Chiếu Phim Cuộc Đời (Tặng Kèm Postcard)" "Ngô Đại Vỹ" 70080
"Ngoảnh Lại Đã Một Đời" "Bạch Lạc Mai" 88500
"Rừng Na Uy (Tái Bản Lần 3) " "Haruki Murakami" 96000
"Đàn Ông Trưởng Thành Không Vô Tâm" "Cu Trí" 59250
"Tuổi Trẻ Hoang Dại - Kèm Chữ Ký Tác Giả" "Nguyễn Ngọc Thạch" 57000
"Người Ý đâu chỉ Ngọt ngào - Living La Dolce Vita" "Raeleen D’Agostino Mautner" 87999
"Em Là Nhà" "Lan Rùa" 72000
"Rồi Cũng Phải Quen Với Sự Cô Đơn (Tặng kèm 4 Postcard)" "Nhị Hy" 64000
"Tiếng Chim Hót Trong Bụi Mận Gai (Tái Bản)" "Colleen Mccullough" 86899
"Ngàn Năm Chờ Đợi" "Diệp Lạc Vô Tâm" 33300
"Lúc Nào Cũng Là Quá Muộn" Zelda 51000
"Bóc Mẽ Những Cái Cớ Của Đàn Ông" "Liz Tuccillo" 66750
"Hạnh Phúc Là..." "Ralph Lazar" 74250
"Một Ngày Khác" "David Levithan" 88999
"Combo Nguyễn Ngọc Thạch (4 Cuốn) - Tặng Kèm Sổ Tay "  236250
"Biên Niên Sử Đế Chế Alexis - Kiêu Hùng Rung Chuyển Đất Trời (Tập 6)" "Akamitsu Awamura, Tamago no Kimi" 87999
"Tôi Thấy Hoa Vàng Trên Cỏ Xanh" "Nguyễn Nhật Ánh" 96200
"Đủ Xa Sẽ Cũ Đủ Lạ Sẽ Quên " "Khải Vệ" 64500
"Ông Trăm Tuổi Trèo Qua Cửa Sổ Và Biến Mất" "Jonas Jonasson" 149000
